ICAO,MOF,N,N_VALID,TXOT,REF,ADD_TXOT,AVG_ADD_TXOT
SBPA,2019-12-01T00:00:00Z,2972,2972,35264.80000000012,26793.200000000073,10170.230000000001,3.4220154777927325
SBPA,2020-01-01T00:00:00Z,2898,2898,33607.60000000005,25841.900000000176,10290.489999999989,3.5508937198067594
SBPA,2020-02-01T00:00:00Z,2532,2532,28799.70000000002,23460.70000000006,6943.3999999999905,2.7422590837282743
SBPA,2020-03-01T00:00:00Z,1883,1883,20938.999999999996,17321.200000000114,4991.210000000005,2.650669144981415
SBPA,2020-04-01T00:00:00Z,151,151,1551.6999999999996,1483.7000000000016,158.85000000000008,1.051986754966888
SBPA,2020-05-01T00:00:00Z,160,160,1770.1,1560.8000000000002,280.71000000000004,1.7544375000000003
SBPA,2020-06-01T00:00:00Z,230,230,2540.5,2156.1000000000013,452.7799999999999,1.9686086956521736
SBPA,2020-07-01T00:00:00Z,354,354,3849.3000000000034,3367.099999999998,629.7900000000002,1.77906779661017
SBPA,2020-08-01T00:00:00Z,395,395,4043.0000000000036,3634.2000000000007,573.8999999999999,1.452911392405063
SBPA,2020-09-01T00:00:00Z,626,626,6638.800000000002,5807.499999999991,1036.13,1.6551597444089459
SBPA,2020-10-01T00:00:00Z,1055,1055,11695.399999999992,9838.699999999986,2205.0900000000006,2.0901327014218016
SBPA,2020-11-01T00:00:00Z,1379,1379,15049.699999999997,12606.900000000021,2874.3999999999974,2.0844089920232034
SBPA,2020-12-01T00:00:00Z,1676,1676,18565.000000000007,15495.200000000046,3661.940000000001,2.1849284009546546
SBPA,2021-01-01T00:00:00Z,1761,1761,19100.69999999997,16488.300000000054,3320.940000000006,1.8858262350937
SBPA,2021-02-01T00:00:00Z,1314,1314,15257.700000000019,12655.90000000007,2927.290000000003,2.227770167427704
SBPA,2021-03-01T00:00:00Z,1032,1032,11322.200000000003,9774.300000000007,1902.1799999999996,1.8431976744186043
SBPA,2021-04-01T00:00:00Z,684,684,7453.399999999996,6423.499999999989,1308.5899999999988,1.9131432748537993
